genome_id,genome_name,antibiotic,phenotype,measurement,measurement_sign,measurement_value,measurement_unit,testing_standard,testing_standard_year,genome_status,genome_quality,contigs,size,gc_content,contig_n50,check_m_completeness,check_m_contamination,genome_quality_flags,strain,isolation_country,collection_year,host_name,isolation_source
573.1536,Klebsiella pneumoniae strain INF249,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,7,5676465,57.11,5583461,99.7,0.3,NA,INF249,Australia,NA,"Human, Homo sapiens",NA
573.15361,Klebsiella pneumoniae strain INF322,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,7,5684599,57.1,5356173,99.7,0.3,NA,INF322,Australia,NA,"Human, Homo sapiens",NA
573.15362,Klebsiella pneumoniae strain KSB1_7E,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,3,5448674,57.05,5232513,100,NA,NA,KSB1_7E,Australia,NA,"Human, Homo sapiens",NA
573.15365,Klebsiella pneumoniae strain QS17-0161,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,8,5717053,56.94,5267491,100,NA,NA,QS17-0161,Thailand,2017,"Human, Homo sapiens",sputum
573.15366,Klebsiella pneumoniae strain INF042,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5519452,57.27,5337491,100,NA,NA,INF042,Australia,NA,"Human, Homo sapiens",NA
573.15367,Klebsiella pneumoniae strain KSB2_1B,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,11,6025713,56.65,5228889,100,NA,NA,KSB2_1B,Australia,NA,"Human, Homo sapiens",NA
573.15368,Klebsiella pneumoniae strain KSB1_10J,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,6,5677989,56.86,5228900,100,NA,NA,KSB1_10J,Australia,NA,"Human, Homo sapiens",NA
573.15371,Klebsiella pneumoniae strain KSB1_9D,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,7,5702263,57.12,5264380,100,NA,NA,KSB1_9D,Australia,NA,"Human, Homo sapiens",NA
573.15372,Klebsiella pneumoniae strain INF059,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,3,5519452,57.27,5337491,100,NA,NA,INF059,Australia,NA,"Human, Homo sapiens",NA
573.15373,Klebsiella pneumoniae strain KSB1_7J,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,1,5354543,57.12,5354543,100,NA,NA,KSB1_7J,Australia,NA,"Human, Homo sapiens",NA
573.15374,Klebsiella pneumoniae strain INF163,meropenem,Susceptible,NA,NA,NA,NA,CLSI,NA,Complete,Good,7,5736111,57.06,5298228,100,NA,NA,INF163,Australia,NA,"Human, Homo sapiens",NA
573.15376,Klebsiella pneumoniae strain INF274,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,5732200,57.06,5293333,99.7,NA,NA,INF274,Australia,NA,"Human, Homo sapiens",NA
573.15377,Klebsiella pneumoniae strain KSB1_4E,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5698065,56.85,5234963,100,NA,NA,KSB1_4E,Australia,NA,"Human, Homo sapiens",NA
573.15379,Klebsiella pneumoniae strain P1428,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5633290,57.13,5633290,100,1.3,NA,P1428,China,2007,"Human, Homo sapiens",Sputum
573.1644,Klebsiella pneumoniae strain 459,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5320942,57.4,5320942,100,NA,NA,459,China,2008,"Human, Homo sapiens",Sputum
573.16441,Klebsiella pneumoniae strain KP1768,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5745430,57.12,5388466,100,NA,NA,KP1768,USA,2016,"Human, Homo sapiens",Pancreatic Fluid
573.16442,Klebsiella pneumoniae strain NR5632,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5741903,57.12,5388622,100,0.3,NA,NR5632,USA,2016,"Human, Homo sapiens",bronchoalveolar lavage
573.16443,Klebsiella pneumoniae strain KP1766,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5751187,57.16,5383248,100,NA,NA,KP1766,USA,2016,"Human, Homo sapiens",blood
573.16472,Klebsiella pneumoniae strain KP8,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5478203,57.31,5478203,100,0.3,NA,KP8,China,2009,"Human, Homo sapiens",NA
573.16473,Klebsiella pneumoniae strain KP11,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,4766628,57.55,4766628,90.1,NA,NA,KP11,Brazil,2015,"Human, Homo sapiens",NA
573.16474,Klebsiella pneumoniae strain KP9,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5339613,57.42,5339613,100,0.7,NA,KP9,China,2009,"Human, Homo sapiens",NA
573.16475,Klebsiella pneumoniae strain KP10,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5061821,57.87,5061821,100,0.3,NA,KP10,Brazil,2015,"Human, Homo sapiens",NA
573.16476,Klebsiella pneumoniae strain KP14,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5187330,57.71,5187330,99.7,0.3,NA,KP14,China,2009,"Human, Homo sapiens",NA
573.16477,Klebsiella pneumoniae strain KP7,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5405065,57.38,5405065,100,0.3,NA,KP7,China,2009,"Human, Homo sapiens",NA
573.1761,Klebsiella pneumoniae strain KP617,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5696051,56.87,5416282,100,NA,NA,KP617,Korea,2013,"Human, Homo sapiens",Burn Patient
573.17803,Klebsiella pneumoniae strain Kp81,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5314129,57.432728,5182080,100,NA,NA,Kp81,Brazil,2014,"Human, Homo sapiens",urine
573.17821,Klebsiella pneumoniae strain KPNIH50,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,6209759,56.354553,5616605,100,0.7,NA,KPNIH50,USA,2016,"Human, Homo sapiens",patients and hospital environment
573.17822,Klebsiella pneumoniae strain KPNIH49,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,9,6374553,56.209274,5403218,100,1,NA,KPNIH49,USA,2016,"Human, Homo sapiens",patients and hospital environment
573.17904,Klebsiella pneumoniae strain KPNIH48,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,7,6296819,56.31113,5531975,100,NA,NA,KPNIH48,USA,2016,"Human, Homo sapiens",patients and hospital environment
573.17907,Klebsiella pneumoniae strain NUHL30457,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5782903,57.045467,5302595,100,0.3,NA,NUHL30457,China,2016,"Human, Homo sapiens",NA
573.17908,Klebsiella pneumoniae strain AR_0066,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5733600,57.140907,5451057,100,NA,NA,AR_0066,NA,NA,NA,NA
573.17909,Klebsiella pneumoniae strain FDAARGOS_156,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5550639,57.100292,5264538,99.7,0.7,NA,FDAARGOS_156,USA,2014,"Human, Homo sapiens",urine
573.1791,Klebsiella pneumoniae strain HZW25,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5604335,56.98831,5198587,100,2.8,NA,HZW25,China,2016,"Human, Homo sapiens",blie
573.17914,Klebsiella pneumoniae strain AR_0363,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,11,5892020,56.73893,5274107,100,NA,NA,AR_0363,NA,NA,NA,NA
573.17915,Klebsiella pneumoniae strain AR_0361,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,8,5597784,57.23163,5194420,100,NA,NA,AR_0361,NA,NA,NA,NA
573.17919,Klebsiella pneumoniae strain KPHS1249,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5458646,57.44346,5458646,100,0.7,NA,KPHS1249,China,2008,"Human, Homo sapiens",wound
573.1792,Klebsiella pneumoniae strain DA48896,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,8,5752275,56.840538,5394870,98,0.3,NA,DA48896,Pakistan,2015,"Human, Homo sapiens",Trachaeal secretion
573.17931,Klebsiella pneumoniae strain NH25,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,5947820,56.754913,5369387,100,NA,NA,NH25,Thailand,2016,"Human, Homo sapiens",sputum
573.17935,Klebsiella pneumoniae strain Kp589,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,10,5778569,56.990215,5489507,100,0.3,NA,Kp589,Spain,2012,"Human, Homo sapiens",amniotic fluid
573.17943,Klebsiella pneumoniae strain AR_0142,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5479509,57.35094,5275382,99.7,0.7,NA,AR_0142,NA,NA,NA,NA
573.1807,Klebsiella pneumoniae strain L388,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5945388,56.923367,5339840,100,NA,NA,L388,China,2017,"Human, Homo sapiens",feces
573.18071,Klebsiella pneumoniae strain L491,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5958238,56.87812,5525009,100,0.3,NA,L491,China,2017,"Human, Homo sapiens",feces
573.18072,Klebsiella pneumoniae strain L201,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5464028,57.135326,4943800,92.8,0.4,NA,L201,China,2017,"Human, Homo sapiens",feces
573.18084,Klebsiella pneumoniae strain NCTC 418,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,2,5475977,57.331688,5327611,100,1,NA,NCTC 418,NA,NA,NA,NA
573.18085,Klebsiella pneumoniae strain 616,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5359558,57.406395,5246307,100,NA,NA,616,Iran,2009,"Human, Homo sapiens",urine
573.18086,Klebsiella pneumoniae strain AR376,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5675659,57.107483,5331435,100,NA,NA,AR376,NA,NA,NA,NA
573.18087,Klebsiella pneumoniae strain AR438,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,5,5823933,57.03879,5439007,100,NA,NA,AR438,NA,NA,NA,NA
573.18089,Klebsiella pneumoniae strain QS17-0029,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,7,5617050,57.098103,5319773,100,0.7,NA,QS17-0029,Thailand,2017,"Human, Homo sapiens",NA
573.18093,Klebsiella pneumoniae strain AR_0153,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,4,5799475,56.78757,5341581,100,NA,NA,AR_0153,NA,NA,NA,NA
573.1814,Klebsiella pneumoniae strain SCM96,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5579775,57.174225,5398745,100,0.3,NA,SCM96,China,2017,NA,Sputum sample
573.18146,Klebsiella pneumoniae strain WCHKP020030,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5909803,56.81741,5376106,100,NA,NA,WCHKP020030,China,2016,"Human, Homo sapiens",NA
573.18187,Klebsiella pneumoniae strain WCHKP040035,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5533074,57.279354,5360164,100,NA,NA,WCHKP040035,China,2017,"Human, Homo sapiens",NA
573.18238,Klebsiella pneumoniae strain NH54,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5640638,57.102512,5399501,100,1,NA,NH54,Thailand,2016,"Human, Homo sapiens",rectal swab
573.18239,Klebsiella pneumoniae strain CFSAN054111,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5535332,57.209866,5279647,100,NA,NA,CFSAN054111,Germany,2012,"Human, Homo sapiens",human
573.1824,Klebsiella pneumoniae strain CFSAN054110,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5709497,57.110565,5438150,100,NA,NA,CFSAN054110,Denmark,2013,"Human, Homo sapiens",human
573.18464,Klebsiella pneumoniae strain DA33140,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5657209,57.031162,5438025,100,0.3,NA,DA33140,Sweden,NA,"Human, Homo sapiens",NA
573.18465,Klebsiella pneumoniae strain DA33141,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5477813,57.3628,5255790,100,0.3,NA,DA33141,Sweden,NA,"Human, Homo sapiens",NA
573.18466,Klebsiella pneumoniae strain DA33144,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5482460,57.364998,5257213,100,NA,NA,DA33144,Sweden,NA,"Human, Homo sapiens",NA
573.18472,Klebsiella pneumoniae strain 203,meropenem,Susceptible,>=0.25,>=,0.25,mg/L,CLSI,NA,Complete,Good,2,5380271,57.36423,5203126,100,0.7,NA,203,USA,2016,"Human, Homo sapiens",urine
573.18476,Klebsiella pneumoniae strain CCUG 70742,meropenem,Susceptible,==0.38,=,0.38,mg/L,EUCAST,NA,Complete,Good,5,5391141,57.40553,5256457,100,0.3,NA,CCUG 70742,Sweden,2012,"Human, Homo sapiens",urine
573.18541,Klebsiella pneumoniae strain TVGHCRE225,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,6107937,56.48986,5547427,100,0.3,NA,TVGHCRE225,Taiwan,2014,"Human, Homo sapiens",intraabdominal abscess
573.18542,Klebsiella pneumoniae strain AR_0087,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5626400,57.264717,5347404,100,NA,NA,AR_0087,NA,NA,NA,NA
573.18674,Klebsiella pneumoniae strain CDC 0106,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5794565,56.77213,5356693,100,1.3,NA,CDC 0106,NA,NA,NA,NA
573.1868,Klebsiella pneumoniae strain AR_362,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5709342,57.158897,5379490,100,NA,NA,AR_362,NA,NA,NA,NA
573.18713,Klebsiella pneumoniae strain CNR48,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5138672,57.701153,5138672,100,NA,NA,CNR48,France,2012,"Human, Homo sapiens",urine
573.1987,Klebsiella pneumoniae strain J1,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5406866,57.24,5278493,100,0.7,NA,J1,China,2014,NA,the activated sludge of Harbin Taiping wastewater treatment plant
573.19949,Klebsiella pneumoniae strain F1,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,2,5682889,57.391724,5518379,100,NA,NA,F1,China,2014,"Human, Homo sapiens",urine
573.1995,Klebsiella pneumoniae strain KP30835,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5941188,56.877495,5428613,99.7,4.8,NA,KP30835,NA,2015,"Human, Homo sapiens",NA
573.19951,Klebsiella pneumoniae strain JNM10C3,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5605361,57.114586,5138694,100,0.3,NA,JNM10C3,India,2017,"Human, Homo sapiens",Nasal swab
573.19985,Klebsiella pneumoniae strain S12,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,8,6074707,56.55988,5242834,100,2,NA,S12,NA,2015,"Human, Homo sapiens",Rectal swab
573.20005,Klebsiella pneumoniae strain 160111,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,7,5805104,57.124542,5430212,100,1,NA,160111,Taiwan,2014,"Human, Homo sapiens",urine
573.20007,Klebsiella pneumoniae strain KSB1_1I-sc-2280289,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5505832,57.08881,5183069,100,0.3,NA,KSB1_1I-sc-2280289,NA,NA,NA,NA
573.20008,Klebsiella pneumoniae strain MSB1_8A-sc-2280397,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,8,6109915,56.57308,5509899,100,1.3,NA,MSB1_8A-sc-2280397,NA,NA,NA,NA
573.20009,Klebsiella pneumoniae strain INF206-sc-2280074,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,2,5596264,57.13453,5362796,100,0.3,NA,INF206-sc-2280074,NA,NA,NA,NA
573.20011,Klebsiella pneumoniae strain INF014-sc-2279884,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5523973,57.33196,5348492,100,NA,NA,INF014-sc-2279884,NA,NA,NA,NA
573.20012,Klebsiella pneumoniae strain INF116-sc-2279924,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5465612,57.284676,5270163,100,0.3,NA,INF116-sc-2279924,NA,NA,NA,NA
573.20013,Klebsiella pneumoniae strain QMP B2-170,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,2,5420229,57.261234,5286886,100,1,NA,QMP B2-170,USA,2006,Bos taurus,sterile
573.20014,Klebsiella pneumoniae strain INF125-sc-2279943,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,3,5456823,57.241474,5282782,100,0.3,NA,INF125-sc-2279943,NA,NA,NA,NA
573.20015,Klebsiella pneumoniae strain ZYST1,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5588848,57.064194,5248387,100,1.3,NA,ZYST1,China,2017,"Pig, Sus scrofa",NA
573.20059,Klebsiella pneumoniae strain AR_0076,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5595201,57.14599,5147572,100,NA,NA,AR_0076,NA,NA,NA,NA
573.20063,Klebsiella pneumoniae strain AR_0097,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5703725,57.01253,5309987,100,0.3,NA,AR_0097,NA,NA,NA,NA
573.2202,Klebsiella pneumoniae strain YH43,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5520319,57.27,5520319,97.3,1,NA,YH43,NA,NA,NA,NA
573.22547,Klebsiella pneumoniae strain ST307PT04,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5584541,57.240334,5328896,99.78,NA,NA,ST307PT04,South Korea,2015,"Human, Homo sapiens",Rectal swab
573.22548,Klebsiella pneumoniae strain ST307PT02,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,2,5570673,57.242706,5324096,99.78,NA,NA,ST307PT02,South Korea,2014,"Human, Homo sapiens",sputum
573.22549,Klebsiella pneumoniae strain ST307PT03,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5584763,57.24026,5328892,99.78,NA,NA,ST307PT03,South Korea,2015,"Human, Homo sapiens",sputum
573.2255,Klebsiella pneumoniae strain ST307PT01,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5613520,57.204445,5330228,99.78,0.33,NA,ST307PT01,South Korea,2014,"Human, Homo sapiens",sputum
573.22553,Klebsiella pneumoniae strain INF078,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,2,5695354,57.127846,5295441,99.78,0.11,NA,INF078,NA,NA,NA,NA
